               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.023719,           0.0048504,          9.1197e-05,             0.94088,             0.89592,             0.93863,             0.62971,            0.022014,           0.0037491,          6.6138e-05,            0.006634,            0.006634,            0.006634
                  36,             0.02379,           0.0047907,          9.3203e-05,             0.92845,              0.8868,             0.93756,             0.63069,            0.021934,           0.0037915,          6.9264e-05,            0.006535,            0.006535,            0.006535
                  37,            0.024035,           0.0048557,          9.2917e-05,             0.92833,             0.89755,             0.94401,             0.63371,            0.021861,            0.003715,          6.5196e-05,            0.006436,            0.006436,            0.006436
                  38,            0.023716,            0.004742,          8.7113e-05,             0.93673,             0.89078,              0.9428,             0.63932,            0.021579,           0.0037285,            6.42e-05,            0.006337,            0.006337,            0.006337
                  39,             0.02369,           0.0047027,          8.8252e-05,             0.92397,             0.90277,             0.94245,             0.63536,            0.021677,           0.0037081,          6.1498e-05,            0.006238,            0.006238,            0.006238
                  40,            0.023245,           0.0047353,          8.9804e-05,             0.92598,              0.8945,             0.94055,              0.6403,            0.021345,           0.0037021,          5.7756e-05,            0.006139,            0.006139,            0.006139
                  41,            0.023346,           0.0047299,          8.3453e-05,             0.93123,             0.89535,              0.9437,             0.64262,            0.021463,           0.0037024,          6.0163e-05,             0.00604,             0.00604,             0.00604
                  42,            0.022988,           0.0046948,          8.2108e-05,             0.92689,             0.90012,             0.94282,             0.64646,            0.021266,           0.0036675,          6.0239e-05,            0.005941,            0.005941,            0.005941
                  43,            0.022803,           0.0046441,          7.9628e-05,              0.9219,             0.90883,             0.94504,             0.64615,            0.021215,           0.0036273,           5.445e-05,            0.005842,            0.005842,            0.005842
                  44,            0.022551,           0.0046653,          8.0464e-05,              0.9377,             0.89262,             0.94327,             0.64697,            0.021127,            0.003696,          5.7628e-05,            0.005743,            0.005743,            0.005743
                  45,            0.023005,           0.0045194,          7.9247e-05,             0.92607,              0.9037,             0.94326,              0.6471,            0.021102,           0.0036442,          5.4599e-05,            0.005644,            0.005644,            0.005644
                  46,            0.022492,           0.0045979,          7.9555e-05,             0.93348,             0.90438,             0.94638,             0.65005,            0.021221,           0.0036443,          5.5383e-05,            0.005545,            0.005545,            0.005545
